name,text,type,manaCost,convertedManaCost
Iron Bully,"Menace (This creature can't be blocked except by two or more creatures.)
When Iron Bully enters the battlefield, put a +1/+1 counter on target creature.",Artifact Creature — Golem,{3},3
Iron Lance,"{3}, {T}: Target creature gains first strike until end of turn.",Artifact,{2},2
Iron League Steed,"Haste
Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)",Artifact Creature — Construct,{4},4
Iron Maiden,"At the beginning of each opponent's upkeep, Iron Maiden deals X damage to that player, where X is the number of cards in their hand minus 4.",Artifact,{3},3
Iron Myr,{T}: Add {R}.,Artifact Creature — Myr,{2},2
Iron Star,"Whenever a player casts a red spell, you may pay {1}. If you do, you gain 1 life.",Artifact,{1},1
Iron Tusk Elephant,Trample,Creature — Elephant,{4}{W},5
Iron Will,"Target creature gets +0/+4 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)",Instant,{W},1
Iron-Barb Hellion,"Haste
Iron-Barb Hellion can't block.",Creature — Hellion Beast,{5}{R},6
Iron-Heart Chimera,"Vigilance
Sacrifice Iron-Heart Chimera: Put a +2/+2 counter on target Chimera creature. It gains vigilance. (This effect lasts indefinitely.)",Artifact Creature — Chimera,{4},4
Ironclad Krovod,,Creature — Beast,{3}{W},4
Ironclad Revolutionary,"When Ironclad Revolutionary enters the battlefield, you may sacrifice an artifact. If you do, put two +1/+1 counters on Ironclad Revolutionary and each opponent loses 2 life.",Creature — Aetherborn Artificer,{4}{B}{B},6
Ironclad Slayer,"When Ironclad Slayer enters the battlefield, you may return target Aura or Equipment card from your graveyard to your hand.",Creature — Human Warrior,{2}{W},3
Ironclaw Buzzardiers,"Ironclaw Buzzardiers can't block creatures with power 2 or greater.
{R}: Ironclaw Buzzardiers gains flying until end of turn.",Creature — Orc Scout,{2}{R},3
Ironclaw Curse,"Enchant creature
Enchanted creature gets -0/-1.
Enchanted creature can't block creatures with power equal to or greater than the enchanted creature's toughness.",Enchantment — Aura,{R},1
Ironclaw Orcs,Ironclaw Orcs can't block creatures with power 2 or greater.,Creature — Orc,{1}{R},2
Ironfang,"First strike
At the beginning of each upkeep, if a player cast two or more spells last turn, transform Ironfang.",Creature — Werewolf,,2
Ironfist Crusher,"Ironfist Crusher can block any number of creatures.
Morph {3}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",Creature — Human Soldier,{4}{W},5
Ironhoof Ox,Ironhoof Ox can't be blocked by more than one creature.,Creature — Ox,{3}{G}{G},5
Ironroot Treefolk,,Creature — Treefolk,{4}{G},5
Ironroot Warlord,"Ironroot Warlord's power is equal to the number of creatures you control.
{3}{G}{W}: Create a 1/1 white Soldier creature token.",Creature — Treefolk Soldier,{1}{G}{W},3
Ironshell Beetle,"When Ironshell Beetle enters the battlefield, put a +1/+1 counter on target creature.",Creature — Insect,{1}{G},2
Irontread Crusher,Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.),Artifact — Vehicle,{4},4
Ironwright's Cleansing,Exile target artifact or enchantment.,Sorcery,{2}{W},3
Irradiate,Target creature gets -1/-1 until end of turn for each artifact you control.,Instant,{3}{B},4
Irregular Cohort,"Changeling (This card is every creature type.)
When Irregular Cohort enters the battlefield, create a 2/2 colorless Shapeshifter creature token with changeling.",Creature — Shapeshifter,{2}{W}{W},4
Irresistible Prey,"Target creature must be blocked this turn if able.
Draw a card.",Sorcery,{G},1
Irrigated Farmland,"({T}: Add {W} or {U}.)
Irrigated Farmland enters the battlefield tapped.
Cycling {2} ({2}, Discard this card: Draw a card.)",Land — Plains Island,,0
Irrigation Ditch,"Irrigation Ditch enters the battlefield tapped.
{T}: Add {W}.
{T}, Sacrifice Irrigation Ditch: Add {G}{U}.",Land,,0
"Isamaru, Hound of Konda",,Legendary Creature — Hound,{W},1
"Isao, Enlightened Bushi","This spell can't be countered.
Bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.)
{2}: Regenerate target Samurai.",Legendary Creature — Human Samurai,{2}{G},3
Isareth the Awakener,"Deathtouch
Whenever Isareth the Awakener attacks, you may pay {X}. When you do, return target creature card with converted mana cost X from your graveyard to the battlefield with a corpse counter on it. If that creature would leave the battlefield, exile it instead of putting it anywhere else.",Legendary Creature — Human Wizard,{1}{B}{B},3
"Ishai, Ojutai Dragonspeaker","Flying
Whenever an opponent casts a spell, put a +1/+1 counter on Ishai, Ojutai Dragonspeaker.
Partner (You can have two commanders if both have partner.)",Legendary Creature — Bird Monk,{2}{W}{U},4
"Ishi-Ishi, Akki Crackshot","Whenever an opponent casts a Spirit or Arcane spell, Ishi-Ishi, Akki Crackshot deals 2 damage to that player.",Legendary Creature — Goblin Warrior,{1}{R},2
"Ishkanah, Grafwidow","Reach
Delirium — When Ishkanah, Grafwidow enters the battlefield, if there are four or more card types among cards in your graveyard, create three 1/2 green Spider creature tokens with reach.
{6}{B}: Target opponent loses 1 life for each Spider you control.",Legendary Creature — Spider,{4}{G},5
Island,({T}: Add {U}.),Basic Land — Island,,0
Island Fish Jasconius,"Island Fish Jasconius doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {U}{U}{U}. If you do, untap Island Fish Jasconius.
Island Fish Jasconius can't attack unless defending player controls an Island.
When you control no Islands, sacrifice Island Fish Jasconius.",Creature — Fish,{4}{U}{U}{U},7
Island Sanctuary,"If you would draw a card during your draw step, instead you may skip that draw. If you do, until your next turn, you can't be attacked except by creatures with flying and/or islandwalk.",Enchantment,{1}{W},2
Island of Wak-Wak,{T}: Target creature with flying has base power 0 until end of turn.,Land,,0
Isle of Vesuva,"Whenever a nontoken creature enters the battlefield, its controller creates a token that's a copy of that creature.
Whenever you roll {CHAOS}, destroy target creature and all other creatures with the same name as that creature.",Plane — Dominaria,,0
Isleback Spawn,"Shroud (This creature can't be the target of spells or abilities.)
Isleback Spawn gets +4/+8 as long as a library has twenty or fewer cards in it.",Creature — Kraken,{5}{U}{U},7
Isochron Scepter,"Imprint — When Isochron Scepter enters the battlefield, you may exile an instant card with converted mana cost 2 or less from your hand.
{2}, {T}: You may copy the exiled card. If you do, you may cast the copy without paying its mana cost.",Artifact,{2},2
Isolate,Exile target permanent with converted mana cost 1.,Instant,{W},1
Isolated Chapel,"Isolated Chapel enters the battlefield tapped unless you control a Plains or a Swamp.
{T}: Add {W} or {B}.",Land,,0
Isolated Watchtower,"{T}: Add {C}.
{2}, {T}: Scry 1, then you may reveal the top card of your library. If a basic land card is revealed this way, put it onto the battlefield tapped. Activate this ability only if an opponent controls at least two more lands than you.",Land,,0
Isolation Cell,"Whenever an opponent casts a creature spell, that player loses 2 life unless they pay {2}.",Artifact,{4},4
Isolation Zone,"When Isolation Zone enters the battlefield, exile target creature or enchantment an opponent controls until Isolation Zone leaves the battlefield. (That permanent returns under its owner's control.)",Enchantment,{2}{W}{W},4
Isperia the Inscrutable,"Flying
Whenever Isperia the Inscrutable deals combat damage to a player, choose a card name. That player reveals their hand. If a card with the chosen name is revealed this way, search your library for a creature card with flying, reveal it, put it into your hand, then shuffle your library.",Legendary Creature — Sphinx,{1}{W}{W}{U}{U},5
Isperia's Skywatch,"Flying
When Isperia's Skywatch enters the battlefield, detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)",Creature — Vedalken Knight,{5}{U},6
"Isperia, Supreme Judge","Flying
Whenever a creature attacks you or a planeswalker you control, you may draw a card.",Legendary Creature — Sphinx,{2}{W}{W}{U}{U},6
It That Betrays,"Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)
Whenever an opponent sacrifices a nontoken permanent, put that card onto the battlefield under your control.",Creature — Eldrazi,{12},12
It That Gets Left Hanging,"When It That Gets Left Hanging enters the battlefield, ask a person outside the game to high-five you. If they won't, It That Gets Left Hanging gains haste until end of turn.",Creature — Elemental Horror,{5}{R},6
It That Rides as One,"First strike, trample, lifelink",Creature — Eldrazi Horror,,2
It of the Horrid Swarm,"Emerge {6}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)
When you cast this spell, create two 1/1 green Insect creature tokens.",Creature — Eldrazi Insect,{8},8
Iterative Analysis,"Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)
Whenever you cast an instant or sorcery spell with the chosen name, you may draw a card.",Conspiracy,,0
"Ith, High Arcanist","Vigilance
{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
Suspend 4—{W}{U} (Rather than cast this card from your hand, you may pay {W}{U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)",Legendary Creature — Human Wizard,{5}{W}{U},7
"Itlimoc, Cradle of the Sun","(Transforms from Growing Rites of Itlimoc.)
{T}: Add {G}.
{T}: Add {G} for each creature you control.",Legendary Land,,3
Ivory Charm,"Choose one —
• All creatures get -2/-0 until end of turn.
• Tap target creature.
• Prevent the next 1 damage that would be dealt to any target this turn.",Instant,{W},1
Ivory Crane Netsuke,"At the beginning of your upkeep, if you have seven or more cards in hand, you gain 4 life.",Artifact,{2},2
Ivory Cup,"Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.",Artifact,{1},1
Ivory Gargoyle,"Flying
When Ivory Gargoyle dies, return it to the battlefield under its owner's control at the beginning of the next end step and you skip your next draw step.
{4}{W}: Exile Ivory Gargoyle.",Creature — Gargoyle,{4}{W},5
Ivory Giant,"When Ivory Giant enters the battlefield, tap all nonwhite creatures.
Suspend 5—{W} (Rather than cast this card from your hand, you may pay {W} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)",Creature — Giant,{5}{W}{W},7
Ivory Guardians,"Protection from red
Creatures named Ivory Guardians get +1/+1 as long as an opponent controls a nontoken red permanent.",Creature — Giant Cleric,{4}{W}{W},6
Ivory Mask,You have shroud. (You can't be the target of spells or abilities.),Enchantment,{2}{W}{W},4
Ivory Tower,"At the beginning of your upkeep, you gain X life, where X is the number of cards in your hand minus 4.",Artifact,{1},1
Ivorytusk Fortress,Untap each creature you control with a +1/+1 counter on it during each other player's untap step.,Creature — Elephant,{2}{W}{B}{G},5
Ivy Dancer,{T}: Target creature gains forestwalk until end of turn. (It can't be blocked as long as defending player controls a Forest.),Creature — Dryad Shaman,{2}{G},3
Ivy Elemental,Ivy Elemental enters the battlefield with X +1/+1 counters on it.,Creature — Elemental,{X}{G},1
Ivy Lane Denizen,"Whenever another green creature enters the battlefield under your control, put a +1/+1 counter on target creature.",Creature — Elf Warrior,{3}{G},4
Ivy Seer,"{2}{G}, {T}: Reveal any number of green cards in your hand. Target creature gets +X/+X until end of turn, where X is the number of cards revealed this way.",Creature — Elf Wizard,{3}{G},4
Iwamori of the Open Fist,"Trample
When Iwamori of the Open Fist enters the battlefield, each opponent may put a legendary creature card from their hand onto the battlefield.",Legendary Creature — Human Monk,{2}{G}{G},4
Ixalan's Binding,"When Ixalan's Binding enters the battlefield, exile target nonland permanent an opponent controls until Ixalan's Binding leaves the battlefield.
Your opponents can't cast spells with the same name as the exiled card.",Enchantment,{3}{W},4
Ixalli's Diviner,"When Ixalli's Diviner enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",Creature — Human Druid,{1}{G},2
Ixalli's Keeper,"{7}{G}, {T}, Sacrifice Ixalli's Keeper: Target creature gets +5/+5 and gains trample until end of turn.",Creature — Human Shaman,{1}{G},2
Ixidor's Will,Counter target spell unless its controller pays {2} for each Wizard on the battlefield.,Instant,{2}{U},3
"Ixidor, Reality Sculptor","Face-down creatures get +1/+1.
{2}{U}: Turn target face-down creature face up.",Legendary Creature — Human Wizard,{3}{U}{U},5
Ixidron,"As Ixidron enters the battlefield, turn all other nontoken creatures face down. (They're 2/2 creatures.)
Ixidron's power and toughness are each equal to the number of face-down creatures on the battlefield.",Creature — Illusion,{3}{U}{U},5
"Izoni, Thousand-Eyed","Undergrowth — When Izoni, Thousand-Eyed enters the battlefield, create a 1/1 black and green Insect creature token for each creature card in your graveyard.
{B}{G}, Sacrifice another creature: You gain 1 life and draw a card.",Legendary Creature — Elf Shaman,{2}{B}{B}{G}{G},6
Izzet Boilerworks,"Izzet Boilerworks enters the battlefield tapped.
When Izzet Boilerworks enters the battlefield, return a land you control to its owner's hand.
{T}: Add {U}{R}.",Land,,0
Izzet Charm,"Choose one —
• Counter target noncreature spell unless its controller pays {2}.
• Izzet Charm deals 2 damage to target creature.
• Draw two cards, then discard two cards.",Instant,{U}{R},2
Izzet Chemister,"Haste
{R}, {T}: Exile target instant or sorcery card from your graveyard.
{1}{R}, {T}, Sacrifice Izzet Chemister: Cast any number of cards exiled with Izzet Chemister without paying their mana costs.",Creature — Goblin Wizard,{2}{R},3
Izzet Chronarch,"When Izzet Chronarch enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",Creature — Human Wizard,{3}{U}{R},5
Izzet Cluestone,"{T}: Add {U} or {R}.
{U}{R}, {T}, Sacrifice Izzet Cluestone: Draw a card.",Artifact,{3},3
Izzet Guildgate,"Izzet Guildgate enters the battlefield tapped.
{T}: Add {U} or {R}.",Land — Gate,,0
Izzet Guildmage,"({U/R} can be paid with either {U} or {R}.)
{2}{U}: Copy target instant spell you control with converted mana cost 2 or less. You may choose new targets for the copy.
{2}{R}: Copy target sorcery spell you control with converted mana cost 2 or less. You may choose new targets for the copy.",Creature — Human Wizard,{U/R}{U/R},2
Izzet Keyrune,"{T}: Add {U} or {R}.
{U}{R}: Until end of turn, Izzet Keyrune becomes a 2/1 blue and red Elemental artifact creature.
Whenever Izzet Keyrune deals combat damage to a player, you may draw a card. If you do, discard a card.",Artifact,{3},3
Izzet Locket,"{T}: Add {U} or {R}.
{U/R}{U/R}{U/R}{U/R}, {T}, Sacrifice Izzet Locket: Draw two cards.",Artifact,{3},3
Izzet Signet,"{1}, {T}: Add {U}{R}.",Artifact,{2},2
Izzet Staticaster,"Flash (You may cast this spell any time you could cast an instant.)
Haste
{T}: Izzet Staticaster deals 1 damage to target creature and each other creature with the same name as that creature.",Creature — Human Wizard,{1}{U}{R},3
Izzet Steam Maze,"Whenever a player casts an instant or sorcery spell, that player copies it. The player may choose new targets for the copy.
Whenever you roll {CHAOS}, instant and sorcery spells you cast this turn cost {3} less to cast.",Plane — Ravnica,,0
Jabari's Banner,"{1}, {T}: Target creature gains flanking until end of turn. (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)",Artifact,{2},2
Jabari's Influence,"Cast this spell only after combat.
Gain control of target nonartifact, nonblack creature that attacked you this turn and put a -1/-0 counter on it.",Instant,{3}{W}{W},5
Jace Beleren,"[+2]: Each player draws a card.
[−1]: Target player draws a card.
[−10]: Target player puts the top twenty cards of their library into their graveyard.",Legendary Planeswalker — Jace,{1}{U}{U},3
Jace's Archivist,"{U}, {T}: Each player discards their hand, then draws cards equal to the greatest number of cards a player discarded this way.",Creature — Vedalken Wizard,{1}{U}{U},3
Jace's Defeat,"Counter target blue spell. If it was a Jace planeswalker spell, scry 2.",Instant,{1}{U},2
Jace's Erasure,"Whenever you draw a card, you may have target player put the top card of their library into their graveyard.",Enchantment,{1}{U},2
Jace's Ingenuity,Draw three cards.,Instant,{3}{U}{U},5
Jace's Mindseeker,"Flying
When Jace's Mindseeker enters the battlefield, target opponent puts the top five cards of their library into their graveyard. You may cast an instant or sorcery card from among them without paying its mana cost.",Creature — Fish Illusion,{4}{U}{U},6
Jace's Phantasm,"Flying
Jace's Phantasm gets +4/+4 as long as an opponent has ten or more cards in their graveyard.",Creature — Illusion,{U},1
Jace's Projection,"Whenever you draw a card, put a +1/+1 counter on Jace's Projection.
{3}{U}: Put a loyalty counter on target Jace planeswalker.",Creature — Wizard Illusion,{2}{U}{U},4
Jace's Ruse,"Return up to two target creatures to their owner's hand. You may search your library and/or graveyard for a card named Jace, Arcane Strategist, reveal it, and put it into your hand. If you search your library this way, shuffle it.",Sorcery,{3}{U}{U},5
Jace's Sanctum,"Instant and sorcery spells you cast cost {1} less to cast.
Whenever you cast an instant or sorcery spell, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",Enchantment,{3}{U},4
Jace's Scrutiny,"Target creature gets -4/-0 until end of turn.
Investigate. (Create a colorless Clue artifact token with ""{2}, Sacrifice this artifact: Draw a card."")",Instant,{1}{U},2
Jace's Sentinel,"As long as you control a Jace planeswalker, Jace's Sentinel gets +1/+0 and can't be blocked.",Creature — Merfolk Warrior,{1}{U},2
Jace's Triumph,"Draw two cards. If you control a Jace planeswalker, draw three cards instead.",Sorcery,{2}{U},3
"Jace, Arcane Strategist","Whenever you draw your second card each turn, put a +1/+1 counter on target creature you control.
[+1]: Draw a card.
[−7]: Creatures you control can't be blocked this turn.",Legendary Planeswalker — Jace,{4}{U}{U},6
"Jace, Architect of Thought","[+1]: Until your next turn, whenever a creature an opponent controls attacks, it gets -1/-0 until end of turn.
[−2]: Reveal the top three cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other on the bottom of your library in any order.
[−8]: For each player, search that player's library for a nonland card and exile it, then that player shuffles their library. You may cast those cards without paying their mana costs.",Legendary Planeswalker — Jace,{2}{U}{U},4
"Jace, Cunning Castaway","[+1]: Whenever one or more creatures you control deal combat damage to a player this turn, draw a card, then discard a card.
[−2]: Create a 2/2 blue Illusion creature token with ""When this creature becomes the target of a spell, sacrifice it.""
[−5]: Create two tokens that are copies of Jace, Cunning Castaway, except they're not legendary.",Legendary Planeswalker — Jace,{1}{U}{U},3
"Jace, Ingenious Mind-Mage","[+1]: Draw a card.
[+1]: Untap all creatures you control.
[−9]: Gain control of up to three target creatures.",Legendary Planeswalker — Jace,{4}{U}{U},6
"Jace, Memory Adept","[+1]: Draw a card. Target player puts the top card of their library into their graveyard.
[0]: Target player puts the top ten cards of their library into their graveyard.
[−7]: Any number of target players each draw twenty cards.",Legendary Planeswalker — Jace,{3}{U}{U},5
"Jace, Telepath Unbound","[+1]: Up to one target creature gets -2/-0 until your next turn.
[−3]: You may cast target instant or sorcery card from your graveyard this turn. If that card would be put into your graveyard this turn, exile it instead.
[−9]: You get an emblem with ""Whenever you cast a spell, target opponent puts the top five cards of their library into their graveyard.""",Legendary Planeswalker — Jace,,2
"Jace, Unraveler of Secrets","[+1]: Scry 1, then draw a card.
[−2]: Return target creature to its owner's hand.
[−8]: You get an emblem with ""Whenever an opponent casts their first spell each turn, counter that spell.""",Legendary Planeswalker — Jace,{3}{U}{U},5
"Jace, Vryn's Prodigy","{T}: Draw a card, then discard a card. If there are five or more cards in your graveyard, exile Jace, Vryn's Prodigy, then return him to the battlefield transformed under his owner's control.",Legendary Creature — Human Wizard,{1}{U},2
"Jace, Wielder of Mysteries","If you would draw a card while your library has no cards in it, you win the game instead.
[+1]: Target player puts the top two cards of their library into their graveyard. Draw a card.
[−8]: Draw seven cards. Then if your library has no cards in it, you win the game.",Legendary Planeswalker — Jace,{1}{U}{U}{U},4
"Jace, the Living Guildpact","[+1]: Look at the top two cards of your library. Put one of them into your graveyard.
[−3]: Return another target nonland permanent to its owner's hand.
[−8]: Each player shuffles their hand and graveyard into their library. You draw seven cards.",Legendary Planeswalker — Jace,{2}{U}{U},4
"Jace, the Mind Sculptor","[+2]: Look at the top card of target player's library. You may put that card on the bottom of that player's library.
[0]: Draw three cards, then put two cards from your hand on top of your library in any order.
[−1]: Return target creature to its owner's hand.
[−12]: Exile all cards from target player's library, then that player shuffles their hand into their library.",Legendary Planeswalker — Jace,{2}{U}{U},4
Jack-in-the-Mox,"{T}: Roll a six-sided die. This ability has the indicated effect.
1 — Sacrifice Jack-in-the-Mox and you lose 5 life.
2 — Add {W}.
3 — Add {U}.
4 — Add {B}.
5 — Add {R}.
6 — Add {G}.",Artifact,{0},0
Jackal Familiar,Jackal Familiar can't attack or block alone.,Creature — Jackal,{R},1
Jackal Pup,"Whenever Jackal Pup is dealt damage, it deals that much damage to you.",Creature — Jackal,{R},1
Jackalope Herd,"When you cast a spell, return Jackalope Herd to its owner's hand.",Creature — Rabbit Beast,{3}{G},4
Jackknight,"Whenever another artifact enters the battlefield under your control, put a +1/+1 counter on Jackknight. If that artifact is a Contraption, Jackknight gains lifelink until end of turn.",Artifact Creature — Cyborg Knight,{1}{W},2
Jacques le Vert,Green creatures you control get +0/+2.,Legendary Creature — Human Warrior,{1}{R}{G}{W},4
Jaddi Lifestrider,"When Jaddi Lifestrider enters the battlefield, you may tap any number of untapped creatures you control. You gain 2 life for each creature tapped this way.",Creature — Elemental,{4}{G},5
Jaddi Offshoot,"Defender
Landfall — Whenever a land enters the battlefield under your control, you gain 1 life.",Creature — Plant,{G},1
Jade Bearer,"When Jade Bearer enters the battlefield, put a +1/+1 counter on another target Merfolk you control.",Creature — Merfolk Shaman,{G},1
Jade Guardian,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
When Jade Guardian enters the battlefield, put a +1/+1 counter on target Merfolk you control.",Creature — Merfolk Shaman,{3}{G},4
Jade Idol,"Whenever you cast a Spirit or Arcane spell, Jade Idol becomes a 4/4 Spirit artifact creature until end of turn.",Artifact,{4},4
Jade Leech,Green spells you cast cost {G} more to cast.,Creature — Leech,{2}{G}{G},4
Jade Mage,{2}{G}: Create a 1/1 green Saproling creature token.,Creature — Human Shaman,{1}{G},2
Jade Monolith,"{1}: The next time a source of your choice would deal damage to target creature this turn, that source deals that damage to you instead.",Artifact,{4},4
Jade Statue,{2}: Jade Statue becomes a 3/6 Golem artifact creature until end of combat. Activate this ability only during combat.,Artifact,{4},4
Jadecraft Artisan,"When Jadecraft Artisan enters the battlefield, target creature gets +2/+2 until end of turn.",Creature — Merfolk Shaman,{3}{G},4
Jaded Response,Counter target spell if it shares a color with a creature you control.,Instant,{1}{U},2
Jadelight Ranger,"When Jadelight Ranger enters the battlefield, it explores, then it explores again. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard. Then repeat this process.)",Creature — Merfolk Scout,{1}{G}{G},3
Jagged Lightning,Jagged Lightning deals 3 damage to each of two target creatures.,Sorcery,{3}{R}{R},5
Jagged Poppet,"Whenever Jagged Poppet is dealt damage, discard that many cards.
Hellbent — Whenever Jagged Poppet deals combat damage to a player, if you have no cards in hand, that player discards cards equal to the damage.",Creature — Ogre Warrior,{1}{B}{R},3
Jagged-Scar Archers,"Jagged-Scar Archers's power and toughness are each equal to the number of Elves you control.
{T}: Jagged-Scar Archers deals damage equal to its power to target creature with flying.",Creature — Elf Archer,{1}{G}{G},3
Jagwasp Swarm,Flying,Creature — Insect,{3}{B},4
"Jalira, Master Polymorphist","{2}{U}, {T}, Sacrifice another creature: Reveal cards from the top of your library until you reveal a nonlegendary creature card. Put that card onto the battlefield and the rest on the bottom of your library in a random order.",Legendary Creature — Human Wizard,{3}{U},4
Jalum Grifter,"{1}{R}, {T}: Shuffle Jalum Grifter and two lands you control face down. Target opponent chooses one of those cards. Turn the cards face up. If they chose Jalum Grifter, sacrifice it. Otherwise, destroy target permanent.",Legendary Creature — Devil,{3}{R}{R},5
Jalum Tome,"{2}, {T}: Draw a card, then discard a card.",Artifact,{3},3
Jamming Device,"Whenever you crank Jamming Device, creatures target player controls get -1/-1 until end of turn.",Artifact — Contraption,,0
Jamuraan Lion,"{W}, {T}: Target creature can't block this turn.",Creature — Cat,{2}{W},3
Jandor's Ring,"{2}, {T}, Discard the last card you drew this turn: Draw a card.",Artifact,{6},6
Jandor's Saddlebags,"{3}, {T}: Untap target creature.",Artifact,{2},2
Jangling Automaton,"Whenever Jangling Automaton attacks, untap all creatures defending player controls.",Artifact Creature — Construct,{3},3
Janjeet Sentry,"When Janjeet Sentry enters the battlefield, you get {E}{E} (two energy counters).
{T}, Pay {E}{E}: You may tap or untap target artifact or creature.",Creature — Vedalken Soldier,{2}{U},3
Jar of Eyeballs,"Whenever a creature you control dies, put two eyeball counters on Jar of Eyeballs.
{3}, {T}, Remove all eyeball counters from Jar of Eyeballs: Look at the top X cards of your library, where X is the number of eyeball counters removed this way. Put one of them into your hand and the rest on the bottom of your library in any order.",Artifact,{3},3
Jarad's Orders,Search your library for up to two creature cards and reveal them. Put one into your hand and the other into your graveyard. Then shuffle your library.,Sorcery,{2}{B}{G},4
"Jarad, Golgari Lich Lord","Jarad, Golgari Lich Lord gets +1/+1 for each creature card in your graveyard.
{1}{B}{G}, Sacrifice another creature: Each opponent loses life equal to the sacrificed creature's power.
Sacrifice a Swamp and a Forest: Return Jarad from your graveyard to your hand.",Legendary Creature — Zombie Elf,{B}{B}{G}{G},4
Jaraku the Interloper,Remove a ki counter from Jaraku the Interloper: Counter target spell unless its controller pays {2}.,Legendary Creature — Spirit,,3
"Jareth, Leonine Titan","Whenever Jareth, Leonine Titan blocks, it gets +7/+7 until end of turn.
{W}: Jareth gains protection from the color of your choice until end of turn.",Legendary Creature — Cat Giant,{3}{W}{W}{W},6
Jasconian Isle,"(Jasconian Isle isn't a spell, it's affected by summoning sickness, it's blue, and it has ""{T}: Add {U}."")
Jasconian Isle enters the battlefield tapped.
Jasconian Isle doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {U}{U}. If you do, untap Jasconian Isle.",Land Creature — Island Fish,,0
Jasmine Boreal,,Legendary Creature — Human,{3}{G}{W},5
Jasmine Seer,"{2}{W}, {T}: Reveal any number of white cards in your hand. You gain 2 life for each card revealed this way.",Creature — Human Wizard,{3}{W},4
Jawbone Skulkin,{2}: Target red creature gains haste until end of turn.,Artifact Creature — Scarecrow,{1},1
Jaws of Stone,"Jaws of Stone deals X damage divided as you choose among any number of targets, where X is the number of Mountains you control as you cast this spell.",Sorcery,{5}{R},6
Jaya Ballard,"[+1]: Add {R}{R}{R}. Spend this mana only to cast instant or sorcery spells.
[+1]: Discard up to three cards, then draw that many cards.
[−8]: You get an emblem with ""You may cast instant and sorcery cards from your graveyard. If a card cast this way would be put into your graveyard, exile it instead.""",Legendary Planeswalker — Jaya,{2}{R}{R}{R},5
Jaya Ballard Avatar,{X}: Jaya Ballard Avatar deals an amount of damage chosen at random from 0 to X to any target. Activate this ability only once each turn.,Vanguard,,0
"Jaya Ballard, Task Mage","{R}, {T}, Discard a card: Destroy target blue permanent.
{1}{R}, {T}, Discard a card: Jaya Ballard, Task Mage deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.
{5}{R}{R}, {T}, Discard a card: Jaya Ballard deals 6 damage to each creature and each player.",Legendary Creature — Human Spellshaper,{1}{R}{R},3
Jaya's Greeting,Jaya's Greeting deals 3 damage to target creature. Scry 1.,Instant,{1}{R},2
Jaya's Immolating Inferno,"(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.)
Jaya's Immolating Inferno deals X damage to each of up to three targets.",Legendary Sorcery,{X}{R}{R},2
"Jaya, Venerated Firemage","If another red source you control would deal damage to a permanent or player, it deals that much damage plus 1 to that permanent or player instead.
[−2]: Jaya, Venerated Firemage deals 2 damage to any target.",Legendary Planeswalker — Jaya,{4}{R},5
Jayemdae Tome,"{4}, {T}: Draw a card.",Artifact,{4},4
Jazal Goldmane,"First strike
{3}{W}{W}: Attacking creatures you control get +X/+X until end of turn, where X is the number of attacking creatures.",Legendary Creature — Cat Warrior,{2}{W}{W},4
Jedit Ojanen,,Legendary Creature — Cat Warrior,{4}{W}{W}{U},7
Jedit Ojanen of Efrava,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
Whenever Jedit Ojanen of Efrava attacks or blocks, create a 2/2 green Cat Warrior creature token with forestwalk.",Legendary Creature — Cat Warrior,{3}{G}{G}{G},6
